_id,Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10,RiskAdjRate_ICD10,AnnotationCode,AnnotationDesc
61,2020,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,848,"789,848",107.4,136.1,,
62,2021,Alameda,5,COPD or Asthma in Older Adults (Age 40+),,,,,751,"789,872",95.1,119.7,,
63,2005,Alameda,7,Hypertension,249,1102068,22.6,25,,,,,,
64,2006,Alameda,7,Hypertension,253,1106823,22.9,25.2,,,,,,
65,2007,Alameda,7,Hypertension,294,1117973,26.3,28.9,,,,,,
66,2008,Alameda,7,Hypertension,275,1136417,24.2,26.5,,,,,,
67,2009,Alameda,7,Hypertension,279,1155287,24.1,26.3,,,,,,
68,2010,Alameda,7,Hypertension,315,1169910,26.9,29.2,,,,,,
69,2011,Alameda,7,Hypertension,296,1186810,24.9,26.8,,,,,,
70,2012,Alameda,7,Hypertension,278,1173980,23.7,24.7,,,,,,
71,2013,Alameda,7,Hypertension,251,1197759,21,21.8,,,,,,
72,2014,Alameda,7,Hypertension,242,1192027,20.3,21.2,,,,,,
73,2015,Alameda,7,Hypertension,185,923607,20,20.4,,,,,,
74,2016,Alameda,7,Hypertension,,,,,273,"1,304,840",20.9,30.2,,
75,2017,Alameda,7,Hypertension,,,,,349,"1,314,687",26.5,38.1,,
76,2018,Alameda,7,Hypertension,,,,,396,"1,323,933",29.9,42.7,,
77,2019,Alameda,7,Hypertension,,,,,385,"1,329,186",29,41,,
78,2020,Alameda,7,Hypertension,,,,,325,"1,337,122",24.3,34.4,,
79,2021,Alameda,7,Hypertension,,,,,410,"1,316,671",31.1,43.4,,
80,2005,Alameda,8,Heart Failure,4433,1102068,402.2,491.1,,,,,,
81,2006,Alameda,8,Heart Failure,4157,1106823,375.6,454.5,,,,,,
82,2007,Alameda,8,Heart Failure,3844,1117973,343.8,410.8,,,,,,
83,2008,Alameda,8,Heart Failure,3468,1136417,305.2,362.7,,,,,,
84,2009,Alameda,8,Heart Failure,3456,1155287,299.1,351.8,,,,,,
85,2010,Alameda,8,Heart Failure,3494,1169910,298.7,346.5,,,,,,
86,2011,Alameda,8,Heart Failure,3553,1186810,299.4,341.8,,,,,,
87,2012,Alameda,8,Heart Failure,3385,1173980,288.3,318.1,,,,,,
88,2013,Alameda,8,Heart Failure,3419,1197759,285.4,312.3,,,,,,
89,2014,Alameda,8,Heart Failure,3200,1192027,268.5,294.5,,,,,,
90,2015,Alameda,8,Heart Failure,2583,923607,279.7,296.9,,,,,,
91,2016,Alameda,8,Heart Failure,,,,,"3,557","1,304,840",272.6,371,,
92,2017,Alameda,8,Heart Failure,,,,,"3,550","1,314,687",270,362.6,,
93,2018,Alameda,8,Heart Failure,,,,,"3,747","1,323,933",283,374.5,,
94,2019,Alameda,8,Heart Failure,,,,,"3,709","1,329,186",279,363.4,,
95,2020,Alameda,8,Heart Failure,,,,,"3,324","1,337,122",248.6,327.2,,
96,2021,Alameda,8,Heart Failure,,,,,"3,730","1,316,671",283.3,364,,
97,2005,Alameda,10,Dehydration,1340,1102068,121.6,142.8,,,,,,
98,2006,Alameda,10,Dehydration,1408,1106823,127.2,148.4,,,,,,
99,2007,Alameda,10,Dehydration,1534,1117973,137.2,158.5,,,,,,
100,2008,Alameda,10,Dehydration,1298,1136417,114.2,131.4,,,,,,
101,2009,Alameda,10,Dehydration,973,1155287,84.2,96.1,,,,,,
102,2010,Alameda,10,Dehydration,1086,1169910,92.8,104.9,,,,,,
103,2011,Alameda,10,Dehydration,1068,1186810,90,100.4,,,,,,
104,2012,Alameda,10,Dehydration,1006,1173980,85.7,93,,,,,,
105,2013,Alameda,10,Dehydration,840,1197759,70.1,75.6,,,,,,
106,2014,Alameda,10,Dehydration,752,1192027,63.1,68.2,,,,,,
107,2015,Alameda,10,Dehydration,611,923607,66.2,69.6,,,,,,
108,2005,Alameda,11,Community-Acquired Pneumonia,2889,1102068,262.1,309.6,,,,,,
109,2006,Alameda,11,Community-Acquired Pneumonia,2643,1106823,238.8,280.1,,,,,,
110,2007,Alameda,11,Community-Acquired Pneumonia,2708,1117973,242.2,281.2,,,,,,
111,2008,Alameda,11,Community-Acquired Pneumonia,2482,1136417,218.4,252.5,,,,,,
112,2009,Alameda,11,Community-Acquired Pneumonia,2293,1155287,198.5,227.5,,,,,,
113,2010,Alameda,11,Community-Acquired Pneumonia,2203,1169910,188.3,213.5,,,,,,
114,2011,Alameda,11,Community-Acquired Pneumonia,2005,1186810,168.9,189.1,,,,,,
115,2012,Alameda,11,Community-Acquired Pneumonia,1703,1173980,145.1,157.5,,,,,,
116,2013,Alameda,11,Community-Acquired Pneumonia,1643,1197759,137.2,147.9,,,,,,
117,2014,Alameda,11,Community-Acquired Pneumonia,1386,1192027,116.3,125.8,,,,,,
118,2015,Alameda,11,Community-Acquired Pneumonia,1253,923607,135.7,142.5,,,,,,
119,2016,Alameda,11,Community-Acquired Pneumonia,,,,,"1,327","1,304,840",101.7,136.7,,
120,2017,Alameda,11,Community-Acquired Pneumonia,,,,,"1,036","1,314,687",78.8,104.6,,
121,2018,Alameda,11,Community-Acquired Pneumonia,,,,,901,"1,323,933",68.1,89.1,,
122,2019,Alameda,11,Community-Acquired Pneumonia,,,,,926,"1,329,186",69.7,89.9,,
123,2020,Alameda,11,Community-Acquired Pneumonia,,,,,624,"1,337,122",46.7,60.9,,
124,2021,Alameda,11,Community-Acquired Pneumonia,,,,,508,"1,316,671",38.6,49.3,,
125,2005,Alameda,12,Urinary Tract Infection,1431,1102068,129.8,150.3,,,,,,
126,2006,Alameda,12,Urinary Tract Infection,1465,1106823,132.4,152.4,,,,,,
127,2007,Alameda,12,Urinary Tract Infection,1517,1117973,135.7,155,,,,,,
128,2008,Alameda,12,Urinary Tract Infection,1506,1136417,132.5,151.1,,,,,,
129,2009,Alameda,12,Urinary Tract Infection,1667,1155287,144.3,163.5,,,,,,
130,2010,Alameda,12,Urinary Tract Infection,1507,1169910,128.8,144.8,,,,,,
131,2011,Alameda,12,Urinary Tract Infection,1473,1186810,124.1,137.9,,,,,,
132,2012,Alameda,12,Urinary Tract Infection,1334,1173980,113.6,123.6,,,,,,
133,2013,Alameda,12,Urinary Tract Infection,1185,1197759,98.9,107.1,,,,,,
134,2014,Alameda,12,Urinary Tract Infection,1080,1192027,90.6,98.2,,,,,,
135,2015,Alameda,12,Urinary Tract Infection,905,923607,98,104,,,,,,
136,2016,Alameda,12,Urinary Tract Infection,,,,,"1,012","1,304,840",77.6,102.9,,
137,2017,Alameda,12,Urinary Tract Infection,,,,,845,"1,314,687",64.3,84.3,,
138,2018,Alameda,12,Urinary Tract Infection,,,,,759,"1,323,933",57.3,74.1,,
139,2019,Alameda,12,Urinary Tract Infection,,,,,743,"1,329,186",55.9,71.2,,
140,2020,Alameda,12,Urinary Tract Infection,,,,,605,"1,337,122",45.2,59,,
141,2021,Alameda,12,Urinary Tract Infection,,,,,590,"1,316,671",44.8,57.2,,
142,2005,Alameda,13,Angina without Procedure,299,1102068,27.1,31.1,,,,,,
143,2006,Alameda,13,Angina without Procedure,225,1106823,20.3,23.1,,,,,,
144,2007,Alameda,13,Angina without Procedure,220,1117973,19.7,22.2,,,,,,
145,2008,Alameda,13,Angina without Procedure,204,1136417,18,20.1,,,,,,
146,2009,Alameda,13,Angina without Procedure,195,1155287,16.9,18.8,,,,,,
147,2010,Alameda,13,Angina without Procedure,238,1169910,20.3,22.4,,,,,,
148,2011,Alameda,13,Angina without Procedure,205,1186810,17.3,18.8,,,,,,
149,2012,Alameda,13,Angina without Procedure,164,1173980,14,14.7,,,,,,
150,2013,Alameda,13,Angina without Procedure,144,1197759,12,12.6,,,,,,
151,2014,Alameda,13,Angina without Procedure,169,1192027,14.2,14.9,,,,,,
152,2015,Alameda,13,Angina without Procedure,105,923607,11.4,11.6,,,,,,
153,2005,Alameda,14,Uncontrolled Diabetes,119,1102068,10.8,11.6,,,,,,
154,2006,Alameda,14,Uncontrolled Diabetes,96,1106823,8.7,9.3,,,,,,
155,2007,Alameda,14,Uncontrolled Diabetes,70,1117973,6.3,6.7,,,,,,
156,2008,Alameda,14,Uncontrolled Diabetes,102,1136417,9,9.5,,,,,,
157,2009,Alameda,14,Uncontrolled Diabetes,130,1155287,11.3,11.9,,,,,,
158,2010,Alameda,14,Uncontrolled Diabetes,105,1169910,9,9.4,,,,,,
159,2011,Alameda,14,Uncontrolled Diabetes,102,1186810,8.6,9,,,,,,
160,2012,Alameda,14,Uncontrolled Diabetes,81,1173980,6.9,7.1,,,,,,
161,2013,Alameda,14,Uncontrolled Diabetes,61,1197759,5.1,5.2,,,,,,
162,2014,Alameda,14,Uncontrolled Diabetes,41,1192027,3.4,3.5,,,,,,
163,2015,Alameda,14,Uncontrolled Diabetes,33,923607,3.6,3.6,,,,,,
164,2016,Alameda,14,Uncontrolled Diabetes,,,,,329,"1,304,840",25.2,35.4,,
165,2017,Alameda,14,Uncontrolled Diabetes,,,,,251,"1,314,687",19.1,26.6,,
166,2018,Alameda,14,Uncontrolled Diabetes,,,,,247,"1,323,933",18.7,25.7,,
167,2019,Alameda,14,Uncontrolled Diabetes,,,,,305,"1,329,186",22.9,31.4,,
168,2020,Alameda,14,Uncontrolled Diabetes,,,,,235,"1,337,122",17.6,24,,
169,2021,Alameda,14,Uncontrolled Diabetes,,,,,271,"1,316,671",20.6,27.6,,
170,2005,Alameda,15,Asthma in Younger Adults (Age 18-39),216,478745,45.1,44.2,,,,,,
171,2006,Alameda,15,Asthma in Younger Adults (Age 18-39),191,476939,40,39.2,,,,,,
172,2007,Alameda,15,Asthma in Younger Adults (Age 18-39),169,479051,35.3,34.6,,,,,,
173,2008,Alameda,15,Asthma in Younger Adults (Age 18-39),192,485534,39.5,38.8,,,,,,
174,2009,Alameda,15,Asthma in Younger Adults (Age 18-39),187,490215,38.1,37.5,,,,,,
175,2010,Alameda,15,Asthma in Younger Adults (Age 18-39),200,490704,40.8,40.1,,,,,,
176,2011,Alameda,15,Asthma in Younger Adults (Age 18-39),206,493017,41.8,41.2,,,,,,
177,2012,Alameda,15,Asthma in Younger Adults (Age 18-39),172,464820,37,35.7,,,,,,
178,2013,Alameda,15,Asthma in Younger Adults (Age 18-39),140,474184,29.5,28.5,,,,,,
179,2014,Alameda,15,Asthma in Younger Adults (Age 18-39),146,470235,31,30.3,,,,,,
180,2015,Alameda,15,Asthma in Younger Adults (Age 18-39),112,356530,31.4,30,,,,,,
181,2016,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,104,"545,690",19.1,20.8,,
182,2017,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,97,"548,468",17.7,19.3,,
183,2018,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,67,"550,499",12.2,13.2,,
184,2019,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,76,"551,213",13.8,15,,
185,2020,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,40,"547,274",7.3,7.9,,
186,2021,Alameda,15,Asthma in Younger Adults (Age 18-39),,,,,50,"526,799",9.5,10.2,,
187,2005,Alameda,16,Lower-Extremity Amputation (Diabetes),170,1102068,15.4,18.4,,,,,,
188,2006,Alameda,16,Lower-Extremity Amputation (Diabetes),151,1106823,13.6,16.1,,,,,,
189,2007,Alameda,16,Lower-Extremity Amputation (Diabetes),150,1117973,13.4,15.6,,,,,,
190,2008,Alameda,16,Lower-Extremity Amputation (Diabetes),146,1136417,12.8,14.8,,,,,,
191,2009,Alameda,16,Lower-Extremity Amputation (Diabetes),148,1155287,12.8,14.6,,,,,,
192,2010,Alameda,16,Lower-Extremity Amputation (Diabetes),162,1169910,13.8,15.6,,,,,,
193,2011,Alameda,16,Lower-Extremity Amputation (Diabetes),155,1186810,13.1,14.5,,,,,,
194,2012,Alameda,16,Lower-Extremity Amputation (Diabetes),149,1173980,12.7,13.6,,,,,,
195,2013,Alameda,16,Lower-Extremity Amputation (Diabetes),147,1197759,12.3,13,,,,,,
196,2014,Alameda,16,Lower-Extremity Amputation (Diabetes),164,1192027,13.8,14.6,,,,,,
197,2015,Alameda,16,Lower-Extremity Amputation (Diabetes),120,923607,13,13.4,,,,,,
198,2016,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,259,"1,304,840",19.8,27,,
199,2017,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,284,"1,314,687",21.6,29.2,,
200,2018,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,266,"1,323,933",20.1,27,,
201,2019,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,288,"1,329,186",21.7,28.9,,
202,2020,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,327,"1,337,122",24.5,32.1,,
203,2021,Alameda,16,Lower-Extremity Amputation (Diabetes),,,,,296,"1,316,671",22.5,29,,
204,2005,Alameda,90,Prevention Quality Overall Composite,15252,1102068,1383.9,1612.5,,,,,,
205,2006,Alameda,90,Prevention Quality Overall Composite,14492,1106823,1309.3,1515.6,,,,,,
206,2007,Alameda,90,Prevention Quality Overall Composite,14466,1117973,1293.9,1484,,,,,,
207,2008,Alameda,90,Prevention Quality Overall Composite,13994,1136417,1231.4,1406.4,,,,,,
208,2009,Alameda,90,Prevention Quality Overall Composite,13459,1155287,1165,1320.1,,,,,,
209,2010,Alameda,90,Prevention Quality Overall Composite,13704,1169910,1171.4,1314,,,,,,
210,2011,Alameda,90,Prevention Quality Overall Composite,13168,1186810,1109.5,1230,,,,,,
211,2012,Alameda,90,Prevention Quality Overall Composite,12147,1173980,1034.7,1114.9,,,,,,
212,2013,Alameda,90,Prevention Quality Overall Composite,11377,1197759,949.9,1016.9,,,,,,
213,2014,Alameda,90,Prevention Quality Overall Composite,10696,1192027,897.3,963.2,,,,,,
214,2015,Alameda,90,Prevention Quality Overall Composite,8497,923607,920,961.9,,,,,,
215,2016,Alameda,90,Overall Composite,,,,,"9,636","1,304,840",738.5,992,,
216,2017,Alameda,90,Overall Composite,,,,,"9,449","1,314,687",718.7,955.7,,
217,2018,Alameda,90,Overall Composite,,,,,"9,134","1,323,933",689.9,907.3,,
218,2019,Alameda,90,Overall Composite,,,,,"9,124","1,329,186",686.4,892.1,,
219,2020,Alameda,90,Overall Composite,,,,,"7,506","1,337,122",561.4,733.9,,
220,2021,Alameda,90,Overall Composite,,,,,"7,852","1,316,671",596.4,764.8,,
221,2005,Alameda,91,Prevention Quality Acute Composite,5660,1102068,513.6,602.1,,,,,,
222,2006,Alameda,91,Prevention Quality Acute Composite,5516,1106823,498.4,580.5,,,,,,
223,2007,Alameda,91,Prevention Quality Acute Composite,5759,1117973,515.1,594.4,,,,,,
224,2008,Alameda,91,Prevention Quality Acute Composite,5286,1136417,465.1,534.9,,,,,,
225,2009,Alameda,91,Prevention Quality Acute Composite,4933,1155287,427,487.3,,,,,,
226,2010,Alameda,91,Prevention Quality Acute Composite,4796,1169910,409.9,463.2,,,,,,
227,2011,Alameda,91,Prevention Quality Acute Composite,4546,1186810,383,427.4,,,,,,
228,2012,Alameda,91,Prevention Quality Acute Composite,4043,1173980,344.4,374.1,,,,,,
229,2013,Alameda,91,Prevention Quality Acute Composite,3668,1197759,306.2,330.6,,,,,,
230,2014,Alameda,91,Prevention Quality Acute Composite,3218,1192027,270,292.2,,,,,,
231,2015,Alameda,91,Prevention Quality Acute Composite,2769,923607,299.8,316.1,,,,,,
232,2016,Alameda,91,Acute Composite,,,,,"2,339","1,304,840",179.3,239.7,,
233,2017,Alameda,91,Acute Composite,,,,,"1,881","1,314,687",143.1,188.9,,
234,2018,Alameda,91,Acute Composite,,,,,"1,660","1,323,933",125.4,163.4,,
235,2019,Alameda,91,Acute Composite,,,,,"1,669","1,329,186",125.6,161.1,,
236,2020,Alameda,91,Acute Composite,,,,,"1,229","1,337,122",91.9,119.9,,
237,2021,Alameda,91,Acute Composite,,,,,"1,098","1,316,671",83.4,106.5,,
238,2005,Alameda,92,Prevention Quality Chronic Composite,9593,1102068,870.5,1010.4,,,,,,
239,2006,Alameda,92,Prevention Quality Chronic Composite,8976,1106823,811,935.1,,,,,,
240,2007,Alameda,92,Prevention Quality Chronic Composite,8710,1117973,779.1,890.1,,,,,,
241,2008,Alameda,92,Prevention Quality Chronic Composite,8708,1136417,766.3,871.4,,,,,,
242,2009,Alameda,92,Prevention Quality Chronic Composite,8526,1155287,738,832.6,,,,,,
243,2010,Alameda,92,Prevention Quality Chronic Composite,8908,1169910,761.4,850.3,,,,,,
244,2011,Alameda,92,Prevention Quality Chronic Composite,8622,1186810,726.5,802.1,,,,,,
245,2012,Alameda,92,Prevention Quality Chronic Composite,8104,1173980,690.3,740.2,,,,,,
246,2013,Alameda,92,Prevention Quality Chronic Composite,7710,1197759,643.7,685.7,,,,,,
247,2014,Alameda,92,Prevention Quality Chronic Composite,7479,1192027,627.4,670.1,,,,,,
248,2015,Alameda,92,Prevention Quality Chronic Composite,5728,923607,620.2,645.2,,,,,,
249,2016,Alameda,92,Chronic Composite,,,,,"7,297","1,304,840",559.2,752.2,,
250,2017,Alameda,92,Chronic Composite,,,,,"7,568","1,314,687",575.7,767,,
251,2018,Alameda,92,Chronic Composite,,,,,"7,474","1,323,933",564.5,744.5,,
252,2019,Alameda,92,Chronic Composite,,,,,"7,455","1,329,186",560.9,731.7,,
253,2020,Alameda,92,Chronic Composite,,,,,"6,277","1,337,122",469.4,614.1,,
254,2021,Alameda,92,Chronic Composite,,,,,"6,754","1,316,671",513,658.8,,
255,2016,Alameda,93,Diabetes Composite,,,,,"1,618","1,304,840",124,161.3,,
256,2017,Alameda,93,Diabetes Composite,,,,,"1,738","1,314,687",132.2,171.4,,
257,2018,Alameda,93,Diabetes Composite,,,,,"1,813","1,323,933",136.9,177,,
258,2019,Alameda,93,Diabetes Composite,,,,,"1,839","1,329,186",138.4,178.2,,
259,2020,Alameda,93,Diabetes Composite,,,,,"1,741","1,337,122",130.2,166.7,,
260,2021,Alameda,93,Diabetes Composite,,,,,"1,813","1,316,671",137.7,174.7,,
261,2005,Alpine,1,Diabetes Short-term Complications,0,979,0,0,,,,,,
262,2006,Alpine,1,Diabetes Short-term Complications,0,1001,0,0,,,,,,
263,2007,Alpine,1,Diabetes Short-term Complications,0,1009,0,0,,,,,,
264,2008,Alpine,1,Diabetes Short-term Complications,0,957,0,0,,,,,,
265,2009,Alpine,1,Diabetes Short-term Complications,0,947,0,0,,,,,,
266,2010,Alpine,1,Diabetes Short-term Complications,0,895,0,0,,,,,,
267,2011,Alpine,1,Diabetes Short-term Complications,0,888,0,0,,,,,,
268,2012,Alpine,1,Diabetes Short-term Complications,0,2975,0,0,,,,,,
269,2013,Alpine,1,Diabetes Short-term Complications,0,2967,0,0,,,,,,
270,2014,Alpine,1,Diabetes Short-term Complications,0,2018,0,0,,,,,,
271,2015,Alpine,1,Diabetes Short-term Complications,0,3000,0,0,,,,,,
272,2016,Alpine,1,Diabetes Short-term Complications,,,,,0,860,0,0,,
273,2017,Alpine,1,Diabetes Short-term Complications,,,,,0,909,0,0,,
274,2018,Alpine,1,Diabetes Short-term Complications,,,,,0,886,0,0,,
275,2019,Alpine,1,Diabetes Short-term Complications,,,,,0,909,0,0,,
276,2020,Alpine,1,Diabetes Short-term Complications,,,,,0,967,0,0,,
277,2021,Alpine,1,Diabetes Short-term Complications,,,,,1,"1,014",98.6,84.7,,
278,2005,Alpine,2,Perforated Appendix,0,1,0,,,,,,,
279,2006,Alpine,2,Perforated Appendix,,,,,,,,,,
280,2007,Alpine,2,Perforated Appendix,2,2,100,,,,,,,
281,2008,Alpine,2,Perforated Appendix,1,2,50,,,,,,,
282,2009,Alpine,2,Perforated Appendix,0,1,0,,,,,,,
283,2010,Alpine,2,Perforated Appendix,,,,,,,,,,
284,2011,Alpine,2,Perforated Appendix,,,,,,,,,,
285,2012,Alpine,2,Perforated Appendix,,,,,,,,,,
286,2013,Alpine,2,Perforated Appendix,,,,,,,,,,
287,2014,Alpine,2,Perforated Appendix,,,,,,,,,,
288,2015,Alpine,2,Perforated Appendix,,,,,,,,,,
289,2005,Alpine,3,Diabetes Long-term Complications,0,979,0,0,,,,,,
290,2006,Alpine,3,Diabetes Long-term Complications,0,1001,0,0,,,,,,
291,2007,Alpine,3,Diabetes Long-term Complications,0,1009,0,0,,,,,,
292,2008,Alpine,3,Diabetes Long-term Complications,0,957,0,0,,,,,,
293,2009,Alpine,3,Diabetes Long-term Complications,1,947,105.6,92.2,,,,,,
294,2010,Alpine,3,Diabetes Long-term Complications,0,895,0,0,,,,,,
295,2011,Alpine,3,Diabetes Long-term Complications,0,888,0,0,,,,,,
296,2012,Alpine,3,Diabetes Long-term Complications,0,2975,0,0,,,,,,
297,2013,Alpine,3,Diabetes Long-term Complications,1,2967,33.7,75.8,,,,,,
298,2014,Alpine,3,Diabetes Long-term Complications,0,2018,0,0,,,,,,
299,2015,Alpine,3,Diabetes Long-term Complications,0,3000,0,0,,,,,,
300,2016,Alpine,3,Diabetes Long-term Complications,,,,,0,860,0,0,,
301,2017,Alpine,3,Diabetes Long-term Complications,,,,,1,909,110,72.9,,
302,2018,Alpine,3,Diabetes Long-term Complications,,,,,1,886,112.9,73.4,,
303,2019,Alpine,3,Diabetes Long-term Complications,,,,,1,909,110,72.6,,
304,2020,Alpine,3,Diabetes Long-term Complications,,,,,1,967,103.4,68.2,,
305,2021,Alpine,3,Diabetes Long-term Complications,,,,,1,"1,014",98.6,66.1,,
306,2005,Alpine,5,COPD or Asthma in Older Adults (Age 40+),,,143.3,165.3,,,,,,
307,2006,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,706,0,0,,,,,,
308,2007,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,729,0,0,,,,,,
309,2008,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,712,0,0,,,,,,
310,2009,Alpine,5,COPD or Asthma in Older Adults (Age 40+),0,712,0,0,,,,,,
